"","Crude_Oil_WTI","Diesel","Heating_Oil","Natural_Gas","NY_Gasoline","V6"
"Crude_Oil_WTI",0.00155722431272319,0.000717063431463809,0.000732378425519843,0.000156962195397092,0.000932391520551761,"gfc_fit"
"Diesel",0.000717063431463809,0.000779436113898652,0.000678342162128822,0.000116957199642347,0.000736145553461486,"gfc_fit"
"Heating_Oil",0.000732378425519843,0.000678342162128822,0.000710506651774793,0.000118808568484316,0.000738005688795036,"gfc_fit"
"Natural_Gas",0.000156962195397092,0.000116957199642347,0.000118808568484316,0.00127270688836322,0.000161369943727072,"gfc_fit"
"NY_Gasoline",0.000932391520551761,0.000736145553461486,0.000738005688795036,0.000161369943727072,0.00140383052532531,"gfc_fit"
"Crude_Oil_WTI1",0.000401312718878617,0.000242740196879162,0.000258746965703788,4.94855299683499e-05,0.000246071649847802,"post_gfc_fit"
"Diesel1",0.000242740196879162,0.000286852553808927,0.000259445757297104,2.19994573575587e-05,0.000225298388319663,"post_gfc_fit"
"Heating_Oil1",0.000258746965703788,0.000259445757297104,0.000292020529696597,3.38595795266251e-05,0.000240704727562565,"post_gfc_fit"
"Natural_Gas1",4.94855299683499e-05,2.19994573575587e-05,3.38595795266251e-05,0.00166139023518847,2.27361632018132e-05,"post_gfc_fit"
"NY_Gasoline1",0.000246071649847802,0.000225298388319663,0.000240704727562565,2.27361632018132e-05,0.000400487237215603,"post_gfc_fit"
"Crude_Oil_WTI2",0.000752906348801934,0.000524393355627426,0.000538237173193131,3.97026788738057e-05,0.000474418341076763,"low_oil_fit"
"Diesel2",0.000524393355627426,0.000723250568246379,0.000561209159921071,1.90986973483299e-05,0.000423864229418362,"low_oil_fit"
"Heating_Oil2",0.000538237173193131,0.000561209159921071,0.0007621223057359,4.9012128931267e-05,0.000472041626233649,"low_oil_fit"
"Natural_Gas2",3.97026788738057e-05,1.90986973483299e-05,4.9012128931267e-05,0.0013812696605651,3.66948435167599e-05,"low_oil_fit"
"NY_Gasoline2",0.000474418341076763,0.000423864229418362,0.000472041626233649,3.66948435167599e-05,0.000825122784627167,"low_oil_fit"
"Crude_Oil_WTI3",0.000413432586382087,0.000252772762658692,0.000252537265348995,5.29831722193591e-05,0.000272124421897929,"fed_rates_fit"
"Diesel3",0.000252772762658692,0.000352785036715895,0.000235309468641755,2.55541252915595e-05,0.000239558170729602,"fed_rates_fit"
"Heating_Oil3",0.000252537265348995,0.000235309468641755,0.00026093726575053,4.00295289947881e-05,0.000239898441199872,"fed_rates_fit"
"Natural_Gas3",5.29831722193591e-05,2.55541252915595e-05,4.00295289947881e-05,0.00309011353823257,-1.27789103299933e-05,"fed_rates_fit"
"NY_Gasoline3",0.000272124421897929,0.000239558170729602,0.000239898441199872,-1.27789103299933e-05,0.000454046720484288,"fed_rates_fit"
"Crude_Oil_WTI4",0.00350831837322086,0.00115759662206011,0.00128980178078735,0.000184998154864739,0.00160270116100515,"covid_fit"
"Diesel4",0.00115759662206011,0.000947175172367199,0.000822525724106505,0.000123651259104779,0.000873469813578489,"covid_fit"
"Heating_Oil4",0.00128980178078735,0.000822525724106505,0.00102624557097915,9.4069166367262e-05,0.000958605614371184,"covid_fit"
"Natural_Gas4",0.000184998154864739,0.000123651259104779,9.4069166367262e-05,0.0100297570496294,0.000293855990604376,"covid_fit"
"NY_Gasoline4",0.00160270116100515,0.000873469813578489,0.000958605614371184,0.000293855990604376,0.00180068963956674,"covid_fit"
